n,tiempo_ns
10,190.84
20,394.62
30,637.43
40,987.36
50,1326.92
60,1591.39
70,2006.57
80,2359.75
90,2754.54
100,3079.18
150,5183.60
200,7116.74
250,9359.22
300,11540.05
