n,tiempo_ns
10,275.86
20,597.71
30,918.05
40,1059.70
50,1410.43
60,1794.48
70,2250.99
80,2676.54
90,3056.01
100,3511.07
150,5775.53
200,8115.87
250,10478.76
300,13329.50
350,15796.69
400,18424.44
450,21890.90
500,24188.49
