n,tiempo_ns
5,0.22
6,0.06
7,0.06
8,0.06
9,0.06
10,0.06
11,0.06
12,0.30
13,0.30
14,0.30
15,3.00
16,3.00
17,3.00
18,15.00
19,15.00
20,15.00
